Index,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
185,Greys,2.0,277.891143010845,36474.4561621977,Military,92.6303810036151,No,393.763425854572,Yes,Male,After_16:00,0.330449356231838,0.0262716268189251,0.525660684797913,1.35299211600795,8.954710834659641,4.5673329615965494,,90.54191610775891,455.415048656789,4848.4643558593,52982.3984760695,Maybe,155049.635540729,21.3404556806266,135.602512236644,50.5482567241415,8683.01786587851,30.0,30-45,2.0,663.493719941756,9.0,Car,Services_or_Retail,428.48766713037696,1.0,Yes
9085,Turquoises,9.0,1094.1070815194,173999.623514609,Healthcare,364.70236050646696,Yes,477.1003490983,Yes,Male,After_16:00,0.4871627737302329,0.961949522374198,,6.43452506745234,5.12459902325645,9.97032414656132,9899.0,50.935963238589494,473.514213485307,5718.03191795361,56265.87340950139,Yes,227624.74310972,21.760381740339604,63.7738465772773,62.8628128441051,133382.514119495,80.0,Below_30,3.0,697.2213139162959,12.0,Public_or_other,Student_or_Unemployed,446.69697373937896,0.0,Yes
7936,Turquoises,2.0,1343.8806489882002,234868.863551363,Environment,447.960216329401,Yes,524.307416127008,No,Male,By_16:00,0.654940098524094,0.45206411508843297,9.30530022131279,3.45674499636516,7.29964631609619,3.08091189479455,4314.0,24.373979866504698,503.58875355045404,6250.25166837099,60490.9287237582,Yes,274898.266605779,22.440783265083603,26.2033758777739,92.9888097103685,201126.315630213,90.0,45_and_up,1.0,751.108497320344,11.0,Foot_or_bicycle,Student_or_Unemployed,490.89575502446803,3.0,No
8911,Purples,3.0,646.83051349109,90601.4314235986,Social,215.610171163697,No,420.209449928091,Yes,Male,After_16:00,0.812578425277025,0.182762746233493,8.21298844879493,1.9941885489970401,3.0351541168056397,1.84257215820253,9715.0,94.87839355133471,438.404884447388,5078.90426817569,55097.5448821261,No,176575.981808869,20.9381203656725,117.34056730992201,27.2151599638164,46713.35608040231,70.0,Below_30,1.0,716.619981811927,10.0,Public_or_other,Student_or_Unemployed,560.069281632936,0.0,No
4202,Browns,3.0,60.3279171543509,6215.37460544276,Healthcare,20.109305718117,No,,Yes,Female,By_16:00,0.295200687367469,0.755169930169359,4.656877468805759,4.14596237475052,7.03822209499776,4.23489688895643,3148.0,1.98635801207274,392.34524587605006,3875.4857149025297,45859.7930431222,No,95530.1511144951,19.807706729352898,240.59469188530701,29.128541820682603,434.493482182809,80.0,Below_30,2.0,584.406097295655,8.0,Public_or_other,Public_Sector,400.77484755141097,0.0,No
8966,Browns,1.0,384.652572909243,43190.4232091659,Environment,128.217524303081,No,336.852730887802,Yes,Female,After_16:00,0.392201735172421,0.9833427804987879,1.8280317611061,8.4140904340893,6.3390453136526,9.79804262751713,4644.0,61.7854827549309,392.41728329455805,4153.36187546714,46963.2158242862,No,113469.76230657,19.809525064840898,208.276800906418,90.69588398560879,16577.9510627142,90.0,30-45,0.0,600.846409263208,8.0,Foot_or_bicycle,Student_or_Unemployed,427.97116241864995,2.0,No
4769,Greens,4.0,765.5341957831901,73774.8267878857,Social,255.178065261063,No,289.11116130773,Yes,Female,After_16:00,0.8481685034930709,0.124933311482891,0.918629139196128,1.54556080931798,4.57637791521847,8.736318245064469,6602.0,70.7804151810706,560.639652668622,4012.39091841454,64428.5412799757,No,83585.2635927042,23.677830404591997,258.954190063713,31.7153620766476,65381.023055640595,70.0,45_and_up,3.0,852.2363540598061,13.0,Motorcycle_or_truck,Public_Sector,637.4991010545469,3.0,Yes
1792,Yellows,10.0,-8.834655136748552,-758.354807093948,Healthcare,-2.94488504558285,Yes,257.515928586562,Yes,Male,By_16:00,0.8053531001787629,0.734996021725237,1.7512407130561798,2.4386253533884905,3.70572833810002,2.9739589150995,5735.0,70.48957953229551,628.825568352951,3832.8104225715206,68980.208212535,Yes,66314.45347579941,25.076394644225697,300.294518212163,48.127167276106796,15.727462886114699,80.0,Below_30,3.0,902.485733905169,13.0,Foot_or_bicycle,Services_or_Retail,621.582259057714,0.0,No
7978,Blues,1.0,2096.38087907033,113044.355283136,Social,698.793626356778,Yes,161.770730326352,Yes,Female,After_16:00,0.259114465443417,0.0933090704493225,7.943937934469429,4.8991319630295,4.82179222861305,,9766.0,89.84978951048109,87.68628487066358,1793.0798730048398,25614.6312696844,Yes,26169.7691903212,9.36409551802327,565.831963026965,14.7107001859695,489021.325863213,70.0,Below_30,2.0,439.651817774567,11.0,Car,Services_or_Retail,689.114176716669,0.0,Yes
8833,Blues,10.0,1400.4077660388598,331904.42707439396,Environment,466.80258867961896,Yes,711.0166805484241,No,Female,By_16:00,0.0795281170867383,0.12142572295852,8.297150230500849,2.6038238336332102,0.209298925474286,4.022773224860431,9654.0,57.8610842349008,484.384676286916,8078.93615805808,65912.3014137912,Yes,505544.7200181,22.008740906442497,262.529291487534,13.670279155485302,218381.459386673,90.0,30-45,3.0,834.74882761556,12.0,Motorcycle_or_truck,Hightech,655.401901804986,,No
5484,Blues,8.0,1429.22345724989,111215.710265214,Environment,476.40781908329694,Yes,233.44644191444002,Yes,Male,By_16:00,0.810358223970979,0.37722829380072703,0.613854315597564,2.87897265516222,4.581669538747519,1.95327708730474,6584.0,8.01890722941607,678.759781014972,3691.9839811743395,72376.65943871769,Yes,54497.241242511795,26.0530186545623,340.376881742465,44.0264268778265,227450.817902787,90.0,45_and_up,5.0,940.9086089521901,11.0,Public_or_other,Hightech,613.360323694542,0.0,No
